WAFER_ID,STAGE,AVG_REMOVAL_RATE
329446910,A,146.1354
-4230160594,B,70.0533
-4228160702,B,69.62205
-4228160694,B,69.89805
-4228160686,B,70.2468
-4228160670,B,69.83175
-4228160642,B,68.7276
-1183530654,A,144.801
-879170108,B,73.7268
-879170072,B,72.5385
-877170268,A,69.24525
327446608,A,147.71025
327446612,A,148.31265
327446706,A,143.4168
2717292842,B,72.813
2717292858,B,68.23875
-4228160658,A,61.94655
-4216160666,A,61.4217
-4216160624,A,58.81275
-879170068,A,63.34515
-877170366,A,69.8253
-877170338,A,65.424
-877170322,A,65.90055
-877170264,A,60.30495
327446616,A,148.4082
327446690,A,146.95845
2717292818,B,77.61765
2717292822,B,74.14575
-4228160698,B,74.91585
-4216160670,A,64.90665
-4216160662,A,63.6816
-899170202,A,65.35665
-899170186,A,65.36175
-879170080,B,70.7364
-879170076,A,65.5623
-877170358,B,71.14995
-877170350,A,61.56015
-877170330,A,61.5486
-877170326,A,61.2159
-877170272,A,65.0508
-877170268,B,72.0123
-877170260,A,57.82185
327446644,A,143.9568
327446648,A,145.8369
2703293050,A,61.77915
2717292802,A,60.1968
-4228160658,B,72.771
-4216160658,A,58.9947
-4216160650,A,59.3889
-4216160624,B,70.71435
-1183530612,A,141.7074
-899170198,A,63.6546
-899170156,A,59.2407
-877170366,B,69.8028
-877170346,B,72.50895
-877170322,B,70.4697
-877170264,B,68.8746
327446592,A,142.24515
327446596,A,138.55335
327446604,A,142.20915
3834719044,B,63.35175
-4228160662,B,61.59885
-4216160670,B,67.6425
-4216160646,B,64.34745
-1183530626,A,143.36115
-879170084,B,65.9394
-879170076,B,58.98405
-877170314,B,65.7627
333446656,A,148.5384
2703293042,A,54.82875
2703293054,A,56.79555
2717292802,B,63.93645
-4216160702,A,55.0086
-4216160694,A,56.9127
-4216160642,A,56.9673
-2701400532,A,58.7895
333446668,A,146.6874
-1183530620,A,143.5344
-899170148,B,59.8281
331446662,A,147.03675
331446670,A,148.44345
333446858,A,147.1098
-4230160436,B,54.3072
-4222160582,B,57.58005
-4222160428,A,53.6943
-4222160420,A,53.7738
-4222160392,A,53.42655
-4220160674,A,58.9389
-4216160690,B,60.7173
-2579249814,A,56.5359
321446688,A,144.6135
327446640,A,143.66955
331446628,A,145.3266
331446632,A,145.0794
333446672,A,144.4905
333446862,A,146.7081
333446882,A,147.61455
2703293046,B,60.10935
2703293060,B,59.27085
2703293068,B,59.48385
2703293076,B,60.3726
3840719298,B,56.50905
-4230160416,B,81.83385
-4222160606,B,59.78145
-4222160448,A,65.16345
-4222160428,B,79.52355
-4220160682,B,69.39165
-4220160678,B,74.18535
-4220160604,A,64.4562
-899170132,B,69.28185
-899170124,B,68.8011
2703293072,B,63.99765
3838719142,B,70.93395
-4222160578,B,85.6827
-4222160432,B,78.6462
-4220160604,B,82.51935
-4141512112,B,83.1564
-4111511816,A,73.4904
-2579249810,A,73.55835
-2579249784,A,73.7235
321446858,A,149.5467
321446862,A,148.9725
321446874,A,149.0052
331446658,A,151.53825
333446660,A,148.2864
-4208160362,A,82.58775
-2579249780,B,87.85365
321446716,A,146.4642
321446878,A,144.37395
-4111511812,B,84.74295
-2579249818,B,89.48385
-897170414,A,83.55975
4203773450,A,79.60575
-4220160686,B,82.76775
-4210160444,A,75.0489
-903170198,A,68.30775
-897170370,A,78.9837
319446604,A,151.12455
333446910,A,154.2093
4203773632,A,78.0987
4203773640,A,73.9929
4203773692,A,73.9743
-4230160424,A,78.33015
-4220160702,A,68.09415
-4220160694,A,79.85925
-2133929500,A,78.58245
-903170194,A,80.55015
-903170172,A,69.6849
-903170168,A,72.966
-903170152,A,75.98775
-903170140,A,78.0135
-897170406,B,80.2437
4199773454,A,73.0263
4199773466,A,71.29815
4201773390,A,75.2973
4201773434,A,71.343
4201773438,A,69.9066
4201773444,A,74.4414
4203773450,B,81.3153
4203773636,B,78.0141
4203773652,A,79.06485
4203773680,B,81.04815
-4230160408,A,79.8045
-4220160702,B,84.64815
-4216160640,A,78.65925
-4210160444,B,81.4941
-4141512120,A,78.4977
-4111512062,A,76.88835
-4111512058,A,76.6485
-4111512050,A,79.4853
-2133929492,A,78.50115
-903170172,B,82.75185
-903170160,A,76.61475
-903170156,A,80.20785
-903170148,A,77.5974
-903170144,A,78.3189
-903170140,B,81.90435
-903170132,A,76.81305
-897170374,B,84.3513
319446616,A,149.46675
321446850,A,148.0254
665222808,A,147.5775
4199773466,B,84.6372
4199773636,A,77.16615
4199773668,B,82.8237
4199773692,A,79.15485
4201773406,A,76.46445
4201773430,B,80.31345
4201773444,B,85.90215
4213773664,A,79.18275
4213773710,A,80.2428
4213773718,A,80.65905
-4230160424,B,75.97095
-4230160408,B,83.0358
-903170202,B,82.5801
-903170176,B,80.6286
665222800,A,148.4601
665222804,A,153.69495
675222832,A,152.50275
4203773652,B,79.9785
-4230160428,A,75.34995
-4216160640,B,81.0711
-4141512120,B,73.27635
-4141512104,B,78.8967
-4111512058,B,81.19215
-2135929472,A,77.1156
-2135929452,A,79.38405
-2135929440,A,73.88445
-2135929432,A,77.40675
-2135929424,A,72.7296
-2133929492,B,80.89845
-903170156,B,84.30255
665222812,A,152.12115
675222836,A,156.47775
4199773636,B,82.80465
4199773640,B,78.8424
4199773684,A,76.3008
4201773440,B,80.4498
4211773456,A,72.49155
4211773670,A,78.5892
4213773668,A,79.20765
4213773698,A,79.4268
4213773710,B,79.5681
4213773714,A,75.2805
4213773722,A,80.1816
4213773730,B,81.5106
4213773734,A,85.83975
4213773738,A,81.23025
4213773746,A,74.23665
-4220160646,A,76.0956
-2135929468,A,74.92005
-2135929464,B,82.5075
-2135929448,B,87.30135
-2129929504,A,72.59925
-903170136,B,83.79975
665222796,A,153.81675
4199773446,B,89.40495
4199773644,B,86.90985
4201773386,B,88.52175
4209773410,A,74.9751
4209773434,A,73.63515
4211773444,A,76.689
4211773678,B,83.4441
4213773698,B,75.6669
4213773706,B,85.52775
4213773714,B,76.47015
4213773726,B,85.22895
4213773734,B,77.8581
-4111512046,B,84.4365
-3784722864,A,75.7092
-2135929432,B,83.61255
-2135929428,B,77.97375
-2129929706,B,80.031
-2129929504,B,81.63585
319446612,A,149.53875
3844719152,A,74.1186
4199773632,B,86.10045
4201773382,B,90.38175
4209773418,A,72.65025
4211773448,A,72.31545
4211773464,A,74.37465
4211773476,A,72.0993
4211773694,A,72.0033
-3784722754,B,82.69755
-2129929698,A,72.6846
-903170160,B,80.28585
-903170132,B,77.1237
4209773414,B,75.42495
4209773422,B,78.8181
4209773426,B,77.81535
4209773430,B,70.6911
4209773456,B,75.70455
4209773460,B,75.4239
4211773472,B,72.12105
4211773476,B,72.41775
4211773480,B,73.94085
4211773500,B,80.24115
4211773666,B,75.2127
-4222160590,B,72.45435
-2129929722,B,70.425
319446628,A,158.1276
4207773470,A,78.31905
4207773656,A,74.30625
4207773668,A,74.82855
4207773688,A,70.55895
4209773402,B,71.3148
4209773406,B,73.42725
-3784722766,A,66.1359
-2131929478,A,74.5983
319446648,A,155.37075
321446870,A,150.92355
4207773660,A,77.49675
4207773688,B,72.3054
4221773640,A,77.71905
-3784722774,A,68.8947
-4141512072,A,70.3578
-4139512004,A,69.5982
-4139511842,A,69.7959
-3784722770,A,69.8193
-3784722762,A,69.09915
-2699400364,A,68.90235
4219773694,A,70.8924
-4220160646,B,73.74045
-4141512096,A,74.30415
-4141512092,B,76.8204
-4139512004,B,75.3372
-4139511866,A,72.10635
-4139511854,A,71.9658
-4139511850,A,70.1346
-4139511842,B,70.6215
-4139511826,A,66.46995
-2701400552,B,71.81595
-2699400364,B,75.6822
-2131929482,A,71.1417
-2131929448,A,70.9506
-2129929714,A,70.611
4207773458,A,70.0971
4221773730,B,75.6324
4221773754,B,74.8368
-3784722774,B,76.60005
-2565249998,A,74.24535
4219773440,A,70.70115
4219773452,A,72.07995
4221773746,B,72.2598
-4141512096,B,76.24665
-4139512020,B,73.5135
-4139511854,B,74.034
-4139511850,B,73.5351
-4139511834,B,72.4614
-4139511830,B,74.913
-4139511826,B,77.088
-2565249990,A,66.61725
4219773448,A,70.0122
4219773682,B,74.4918
4221773702,A,70.62
4221773722,A,70.76895
-2699400356,B,76.6998
-2565250046,B,70.1796
-2565250002,B,72.56745
-2131929464,A,71.7369
-2131929452,B,80.4066
4217773684,A,71.42775
4217773688,A,71.73585
4219773444,A,70.62765
4219773492,A,70.1799
4219773496,A,70.06545
-4027511786,A,69.8376
-4027511568,A,71.5143
-2131929468,B,71.2935
-2131929416,A,73.7868
675222840,A,150.52635
4217773676,B,69.11955
4219773448,B,72.98565
4219773488,B,79.87845
4219773492,B,67.9578
4219773500,B,71.85495
-4027511790,A,70.7547
-4027511782,A,66.6846
-4027511564,A,67.17675
-3784722786,A,69.01545
-2565250042,B,68.8815
-2565249994,B,71.7765
-2565249986,B,72.36045
-2141929700,A,69.78255
4217773706,B,67.5171
-4027511790,B,67.27005
-4027511786,B,65.5995
-4027511782,B,67.593
-4027511568,B,69.9153
4215773674,B,64.34325
4217773742,B,63.0513
4217773754,B,62.9937
-4027511564,B,67.7826
-1183530596,A,147.31785
-1183530624,A,145.548
-1183530608,A,151.70085
-1183530604,A,148.833
-1183530580,A,143.94315
-4027511560,B,70.7853
-2141929486,A,70.0587
-1183530592,A,148.788
-1183530588,A,148.3368
-1183530584,A,150.78345
2707293030,A,72.54285
2707293042,A,68.2245
2707293050,A,69.43485
2707293076,A,70.3011
-1193530880,A,152.3616
4217773702,B,60.9621
-2141929716,B,61.07565
-2131929428,B,62.51955
3844719354,B,59.8005
2707293054,B,67.09305
-4025511554,A,65.05305
-4025511548,A,69.52515
-2143929760,A,67.4037
-2143929740,A,66.82695
-2143929718,A,62.0946
-2143929710,A,62.32305
-2141929518,A,63.01935
-2141929514,A,62.6505
-2141929506,A,63.6441
-4027511762,A,61.78755
-2143929718,B,65.418
-2141929522,B,62.2413
-2141929510,B,64.54035
-4027511750,B,62.11335
-4025511552,B,57.1299
-4025511536,B,57.73245
-4027511556,A,66.99705
-2143929768,A,65.1417
-1193530852,A,153.5973
-1193530674,A,149.74545
-1193530654,A,150.48345
-1193530650,A,150.56655
-1193530646,A,150.9651
-1193530642,A,149.961
-1193530634,A,147.0042
-1193530630,A,150.02415
-2143929764,B,65.5896
-1193530626,A,150.68295
4215773456,B,63.59325
4229773652,A,69.4599
-4025511496,A,65.40075
-2137929686,A,68.4723
-2137929682,A,73.75395
325446704,A,150.9264
4215773500,B,77.68605
4229773652,B,81.44055
-4023511798,A,69.38895
-4023511746,A,68.589
-4023511592,A,72.44115
325446696,A,145.82835
325446708,A,148.70145
4229773746,A,71.10945
-4023511798,B,65.6472
-4023511604,B,67.70235
-2137929706,B,76.2096
325446716,A,146.60235
325446870,A,149.9733
4229773718,A,64.4532
-4023511746,B,64.8564
-4023511592,B,64.75125
-1193530682,A,154.33335
4229773632,B,67.31955
4229773730,B,64.6767
4229773746,B,65.9526
325446866,A,151.1547
325446910,A,151.06125
4229773758,B,66.56505
325446850,A,153.28695
325446890,A,148.5657
325446902,A,149.25915
4229773698,A,63.73965
4229773722,A,63.04335
323446592,A,146.9262
323446596,A,147.8013
323446600,A,150.0252
323446604,A,145.2105
325446862,A,152.5515
3846719084,A,57.144
3846719092,A,54.585
3846719100,A,54.06135
4227773484,A,62.03595
4227773500,A,63.2613
323446608,A,148.91535
323446612,A,148.91565
323446620,A,152.268
323446628,A,151.3083
323446644,A,147.64155
323446690,A,151.01055
325446858,A,149.5515
345446880,A,148.6416
345446884,A,150.40245
3846719080,B,64.8096
4225773644,A,62.46615
4227773488,B,68.92695
4227773492,A,62.007
4227773658,B,71.55435
4227773662,B,67.14225
4229773722,B,66.38145
-4220160650,A,65.65575
-2137929694,A,63.66765
323446616,A,147.3105
323446636,A,147.07185
4227773500,B,70.40355
-2139929710,A,67.059
4225773652,A,65.07885
4225773702,A,63.5136
4225773730,A,66.88155
4225773738,A,66.4386
4225773746,A,62.87865
4225773750,A,64.6068
4227773654,B,62.80455
-2137929690,B,61.46865
345446666,A,148.9194
-2139929788,A,67.07565
-2139929772,A,68.1027
-2139929752,B,81.31035
-2139929748,B,77.6979
-2139929744,A,69.3282
-2139929736,B,78.23085
323446702,A,151.6815
343446890,A,152.52525
343446894,A,151.54785
343446912,A,156.06375
343446920,A,151.01475
343446924,A,155.97645
343446928,A,151.70385
343446932,A,153.2667
343446936,A,151.902
343446948,A,155.30595
345446694,A,155.0574
345446710,A,156.747
4225773750,B,71.2104
4229773726,B,76.78335
-4023511802,A,61.9821
-4023511794,A,68.91195
-2149929672,A,67.55865
343446940,A,147.16635
343446944,A,149.45925
2114498118,A,70.82595
4225773698,B,67.39995
4225773702,B,72.3765
-4021511602,A,61.01325
-2149929534,A,62.46855
-2139929764,B,68.93775
343446956,A,152.23575
4173773330,A,60.0345
4223773444,A,61.0134
4223773480,A,56.7708
4223773484,A,57.8457
4223773638,B,68.1342
-4023511802,B,64.1037
343446916,A,152.2017
345446690,A,149.15655
349446674,A,152.16435
349446678,A,155.9079
349446682,A,152.28525
349446686,A,152.1492
2104497922,B,61.94955
4173773318,A,65.8134
4173773326,A,62.03835
4223773448,A,65.7687
4223773476,A,62.0319
-4021511614,B,63.3792
-4021511500,B,59.4282
349446658,A,153.5061
4173773362,A,62.04705
4173773370,A,63.789
4173773544,B,62.0994
4173773564,B,58.26615
4223773476,B,58.96995
4223773488,B,57.6486
4223773496,B,64.7199
4225773710,B,61.9851
-2151929736,B,60.4107
-2151929732,B,57.3687
-2039929274,B,57.86805
4173773326,B,57.7392
4173773334,B,65.76105
-4021511536,B,66.4755
-4021511496,B,65.007
-4019511806,A,67.1346
-4019511794,A,68.82615
-4019511770,A,68.5083
-4017511504,A,68.45955
349446896,A,151.1517
349446900,A,149.21775
4171773542,B,64.90125
4171773558,A,68.0601
4171773580,A,66.54375
4171773584,A,67.1799
4171773608,A,65.56575
4171773612,A,65.3619
4171773620,A,69.88815
-4019511774,A,73.5558
-4017511586,B,72.0225
-4017511492,B,73.24545
1471738964,A,64.04925
1471738972,A,65.13795
4167773542,A,68.59785
4167773568,A,71.0202
4167773580,A,75.1977
4167773604,A,70.92195
4169773318,A,68.2689
4169773334,A,73.509
4169773374,B,79.26135
4171773550,B,70.01865
4181773358,A,64.8966
4181773512,A,68.56845
-4019511766,B,74.9574
-4019511758,B,73.41675
-2039929212,A,72.7194
-1716100432,A,71.0547
1471738972,B,84.86895
4169773544,B,76.1109
4169773564,B,78.2172
4171773568,B,80.36835
4171773572,B,73.97565
4171773576,B,76.53525
4171773592,B,82.99275
4171773604,B,79.38495
4179773518,A,71.46465
4179773596,A,69.2805
4181773366,A,71.4918
-4021511544,B,81.4473
-4019511774,B,73.9884
-4019511616,B,72.30285
-2039929184,B,80.3745
1471739014,B,82.54545
4167773572,A,69.77145
4169773314,B,81.36645
4177773330,A,74.7381
4177773560,A,70.9191
4179773608,A,77.0127
4181773354,B,73.1538
-2149929514,B,78.57975
-1716100432,B,77.9922
4167773596,B,78.1854
4169773338,B,75.7992
4169773358,B,78.2316
4177773362,A,73.1898
4179773596,B,78.91125
4179773628,B,75.7299
4181773318,A,75.95715
4181773366,B,78.95955
4175773600,A,68.61255
4177773350,A,72.86265
4177773374,A,71.27145
4179773506,A,71.11035
4179773604,A,71.16225
4179773608,B,83.64375
-2033929414,A,69.3573
-1714100520,A,70.3704
343446960,A,146.58195
349446666,A,152.18235
349446670,A,153.87015
4171773596,A,72.35115
4175773538,A,72.07185
4175773554,A,74.8848
4175773558,A,71.943
4175773568,A,70.3083
4175773572,A,72.42495
4175773624,A,70.8984
4177773362,B,78.5286
4177773370,B,79.22415
4177773556,B,79.8621
4179773600,B,80.89155
4179773616,B,80.2518
-1714100520,B,78.3654
349446662,A,148.91175
349446690,A,152.679
349446706,A,149.4033
349446710,A,154.54215
665222750,A,151.3224
665222766,A,148.81395
1836206946,A,149.50665
1836206950,A,152.6787
1836206954,A,151.97205
1836206958,A,152.8923
1836206966,A,151.2015
1836206976,A,150.5826
1836206980,A,148.36215
1836206984,A,148.29135
1836207000,A,149.43195
1836207020,A,151.81005
4177773322,B,80.8818
4177773374,B,78.2958
4179773506,B,78.04575
4189773480,A,71.9487
-2033929438,B,73.20885
-2033929418,B,84.2412
-2033929414,B,74.8554
-1716100476,B,81.30195
-1714100536,B,82.1631
-1714100524,B,82.3443
665222754,A,152.0331
665222758,A,150.43815
1836206992,A,154.47525
1836207008,A,150.9006
1836207016,A,151.22625
1836207028,A,153.4002
1838206742,A,154.2624
1838206746,A,150.97425
1838206952,A,153.7527
1838206972,A,154.02675
4169773540,B,85.2246
4171773596,B,79.80435
4175773554,B,79.41285
4175773558,B,70.3251
4175773568,B,74.3157
4175773584,B,76.24185
4175773588,B,81.83835
4175773624,B,68.7492
4175773628,B,79.4604
4179773604,B,76.95825
4189773378,B,81.73245
4189773476,B,84.0453
4189773480,B,83.4648
-1714100694,A,82.302
-1714100690,A,85.1211
-1714100686,A,81.37515
1836207012,A,152.67555
1838206734,A,154.1079
1838206750,A,153.3063
1838206770,A,148.4748
1838206960,A,150.10665
4175773562,A,73.01565
4177773326,A,75.00615
4187773530,A,72.9171
4189773390,A,81.92955
4189773398,A,76.59255
4189773402,A,73.3311
4189773472,B,84.4305
4223773452,A,78.75585
1832206946,A,152.6364
1838206722,A,152.4384
1838206730,A,152.3268
1838206762,A,151.8822
1838206782,A,152.253
4187773526,A,78.20955
4189773394,B,82.4331
4189773406,B,85.1316
4189773414,A,78.1875
4189773418,B,86.6982
4189773434,B,84.9375
4223773452,B,85.16235
-1714100682,A,73.40895
1832206970,A,155.2191
-1714100702,B,77.20935
-1714100682,B,78.89835
1832206976,A,154.3071
1832206980,A,151.6458
1832206988,A,150.55905
1832207000,A,153.06645
1838206726,A,155.8884
4179773576,A,74.7579
4187773534,A,75.3621
4189773414,B,85.93425
1832206992,A,154.54875
1832206996,A,150.87285
1832207012,A,150.5952
1832207016,A,152.60445
1834206956,A,148.6347
4179773576,B,82.1292
4179773580,A,77.8926
4187773534,B,83.37885
-2033929470,A,69.57765
-2033929450,A,73.62825
-2033929430,A,71.89785
-2033929434,A,69.1461
1477739240,A,70.29945
2919013980,A,71.643
2921014246,A,69.43905
2921014258,A,69.64515
2921014270,A,69.9084
1832207020,A,150.9171
1834206730,A,4202.11245
1834206734,A,155.0055
1834206944,A,4182.41655
1834206948,A,150.51855
1834206952,A,152.8344
1834206972,A,4129.494
2915014054,A,77.50935
-1720100542,B,81.06
1475739234,A,77.03835
1475739242,A,75.5517
1475739250,A,73.81275
1477739026,B,83.6733
1477739054,A,77.2362
1477739062,A,79.0431
2911013960,A,74.9115
2917014230,A,73.83915
2917014250,A,72.1308
2917014266,A,74.664
2917014270,A,75.6558
-1720100534,B,86.83545
-1714100726,B,85.57245
1475739238,A,77.08095
1475739242,B,87.56835
1475739292,A,70.49925
1477739010,B,83.4507
1477739054,B,87.9891
1477739240,B,88.53165
2911013972,A,74.4585
2911013992,A,73.4631
1475739246,B,96.5514
1475739292,B,91.79565
1479739258,A,81.24135
1481739014,A,78.3813
2911013964,B,91.7526
2911013972,B,95.1084
2911013976,A,78.51765
2911013980,A,82.21785
2911014050,B,91.6953
2913014234,A,83.15835
2917014064,B,87.1053
2917014230,B,87.27075
2917014250,B,88.10025
2917014262,B,85.4862
2917014270,B,90.76995
2939014292,A,86.77335
2939014300,A,83.10525
2941014078,A,86.8872
1475739276,A,82.2507
1481739022,A,82.61265
1481739038,A,81.036
2707293108,A,83.36445
2709292842,A,81.7785
2709292850,A,84.72675
2709292854,A,84.9639
2709292858,A,83.75475
2709292862,A,77.8455
2913014250,B,87.5745
-2045929446,A,78.26415
1475739280,B,80.9979
1475739288,B,83.71605
3015014268,A,80.2101
3015014294,A,77.3751
3015014302,A,84.67995
3021014286,A,77.74695
3021014306,A,78.28005
3021014318,A,78.74865
-2045929442,B,89.28975
1475739284,B,91.42335
1475739308,B,83.07855
1481739062,B,84.54945
2709292850,B,89.59815
2913014238,B,92.02575
2939014266,B,86.59425
2939014292,B,86.31195
2939014300,B,84.82605
2941014050,B,87.0621
3021014274,A,81.99375
3021014322,B,85.82955
3021014496,B,87.26715
3021014500,B,87.69855
3021014508,A,74.98635
-2045929236,B,95.66055
2707293112,B,88.3725
2709292810,B,89.1222
2709292838,B,85.69455
2709292846,B,88.00155
3021014286,B,80.4021
3021014290,B,89.037
3021014298,B,88.94625
3021014306,B,87.4209
3015014208,A,79.43145
3015014244,B,85.10355
3015014256,B,80.18385
3017014498,A,77.03775
3017014514,A,81.68865
3021014278,B,86.9703
3021014314,B,80.29665
3021014508,B,84.01875
-3287299576,B,78.7572
3015014228,B,73.1484
3015014248,A,76.38435
3015014252,A,70.7031
3017014288,A,73.58325
3017014292,A,71.37885
3017014300,A,72.08715
3021014274,B,83.87505
3021014294,B,72.50955
3011014228,A,72.31815
3011014278,A,74.01555
3013014296,A,72.84075
3013014506,A,71.3712
3015014208,B,73.40715
3017014276,A,70.98945
3017014288,B,74.44095
3017014470,A,73.54815
3017014506,A,76.0044
3017014522,A,73.52445
3009014470,A,74.62365
3009014494,A,81.48765
3011014208,B,83.7336
3011014212,B,79.6245
3011014264,B,81.99945
3013014292,A,75.9663
3013014490,A,76.84515
3011014220,B,81.7974
3011014268,B,83.0055
3013014486,B,85.67175
3017014470,B,85.0212
3017014490,B,86.1207
3017014494,B,85.0308
3017014510,B,80.6004
2663292688,A,79.65045
3035014490,A,73.4565
3037014488,A,75.69735
-4043511796,A,75.37605
3031014466,A,70.8684
3035014494,B,80.9778
3037014334,A,76.05255
3037014480,A,73.93245
-4045511820,B,83.29515
-4043511808,A,69.92775
-1720100480,B,87.10995
-1720100468,B,81.8391
2663292688,B,86.42175
2663292922,B,90.2769
3017014296,A,73.64985
3031014536,A,72.3561
3031014568,A,69.67035
3031014580,A,70.31985
3031014584,A,72.4371
3035014482,B,84.8715
3037014488,B,85.9797
-4045511868,B,84.015
-4045511848,B,85.5699
-4045511836,B,82.2303
-4045511832,B,86.3877
-4045511828,A,76.0023
-4045511824,B,83.6727
-4045511816,B,84.15975
-4045511812,A,80.33985
-4043511796,B,86.1816
-4043511570,A,74.95455
2663292696,B,85.6881
2663292700,B,86.7111
3027014528,A,75.1116
3029014472,A,73.57155
3031014528,A,73.87755
3031014540,A,76.19625
3031014568,B,86.2803
3031014576,B,86.8221
3031014588,B,83.95515
3033014286,A,81.69075
3033014306,A,72.11775
3033014314,A,74.9001
3033014326,A,72.4143
3033014334,B,85.78935
3033014464,A,78.20475
3035014478,B,87.43395
3035014548,B,84.91215
3037014298,A,77.26725
3037014322,B,82.59735
3037014334,B,91.99545
3037014464,B,86.41125
3037014480,B,83.46315
-4043511808,B,87.4689
3023014526,A,81.31365
3023014548,A,78.94215
3027014544,A,74.9385
3029014274,A,76.27245
3029014464,A,77.2944
3029014468,A,81.1284
3029014472,B,87.44205
3031014466,B,88.93695
3031014528,B,87.1047
3033014306,B,89.23815
3033014326,B,86.95065
1834206766,A,151.82085
1844206918,A,154.55625
1844207024,A,152.8851
2663292680,A,75.97005
2663292720,A,72.1563
2663292724,A,76.23855
2665292916,A,74.394
3023014514,A,74.2611
3023014518,A,74.5659
3023014536,A,77.7906
3023014548,B,79.3944
3023014552,A,76.35735
3025014278,A,80.508
3025014294,A,76.7817
3025014302,A,79.6812
3027014502,A,78.12255
3027014522,A,77.53845
3027014528,B,87.0783
3027014536,B,95.3712
3027014556,B,86.9031
3027014564,A,73.24965
3027014588,A,81.2301
3029014330,A,75.0054
3029014476,A,77.17725
3033014286,B,85.33245
3033014318,B,90.4701
3033014330,B,89.7015
3037014302,B,87.9141
1834206722,A,148.01925
1834206738,A,151.5783
1834206742,A,153.7164
1834206750,A,150.0105
1834206754,A,148.04655
1844206922,A,151.0689
1844206926,A,153.6759
1844206942,A,149.75625
3023014506,A,83.7282
3023014514,B,87.00465
3023014518,B,87.87435
3025014282,A,82.8951
3025014286,A,81.1032
3027014552,B,91.45425
3027014580,B,86.92755
3027014584,B,86.3625
3029014282,B,90.99915
3029014286,B,90.53775
3029014464,B,87.32445
3029014476,B,92.5014
3031014564,B,92.82675
3033014282,B,86.8794
1834206758,A,147.62355
2663292728,A,64.7448
3023014544,B,76.45845
1834206746,A,161.06895
1844206984,A,149.64345
1844207004,A,150.29145
1844207008,A,149.6013
1844207012,A,147.56805
1844207016,A,147.64815
